,tf,positif,netral,negatif,hasil_positif,hasil_netral,hasil_negatif
saya,1,0.0,0.0,0.0,0.0,0.0,0.0
ingin,1,0.04285714285714286,0.01818181818181818,0.02127659574468085,0.04285714285714286,0.01818181818181818,0.02127659574468085
ngewe,1,0.05714285714285714,0.01818181818181818,0.02127659574468085,0.05714285714285714,0.01818181818181818,0.02127659574468085
sama,1,0.014285714285714285,0.03636363636363636,0.02127659574468085,0.014285714285714285,0.03636363636363636,0.02127659574468085
kamu,1,0.07142857142857142,0.07272727272727272,0.0425531914893617,0.07142857142857142,0.07272727272727272,0.0425531914893617
